,Day +1,Day +2,Day +7,Day +14,Day +28,Day +63
2008-05-23,0.09671401096964871,2.0309481145840635,0.1934187987835827,-2.4177949353069437,-2.4177949353069437,-8.413925268089471
2008-09-21,1.0416633741122183,-5.397733199325245,-4.356060794206584,-6.0606090709415525,-24.905307639879226,-50.56818576924712
2010-08-06,1.0648563164536995,-1.839298952435385,-6.098742682419072,-8.131656909892087,-8.03484927237325,-0.8712502735004932
2010-11-07,-1.924839973272654,-0.916585052190726,-6.416130330480058,-6.416130330480058,-8.340970303752698,-0.8249326658720264
2012-08-03,0.2729816858081193,0.9099215973828052,2.8207500097623637,2.4567831063403247,2.5477770016097026,0.8189277021134274
2012-11-02,0.372795127995019,0.09319878199876541,-7.0829385613293425,-6.24416729919065,0.46598502206872183,9.878848693741674
2013-03-01,0.3164553858114232,1.3449372759214384,-4.43038294625147,-2.0569637802200305,-2.9272142049785543,6.408223448904209
2013-05-03,0.29828458097071575,-0.8202808197531226,-1.6405687511716422,-0.9694266660711861,0.3728575041297404,2.833707075054548
2013-08-02,0.13773762712700943,-0.06887209756585833,0.5509636445175232,0.0,0.2754818222587545,3.5123915917979645
2013-11-08,0.8620652193445153,2.64778516770987,1.4778311237724893,4.371927351156629,4.002460761645182,0.3078888245928795
2014-02-28,-0.19059551084772863,0.0,-3.3672156332791303,-2.5412936743763197,-7.4332915712032985,-11.118170428509998
2014-05-02,0.2867380817199745,2.078852801563613,0.35842431124375196,0.0,9.4623703695095,16.70251547840782
2014-08-08,0.18702479790906068,0.5610862849274412,-1.7456400914195456,-2.493769011056429,-3.6783109263482885,-12.96758577717317
2014-11-08,0.1859931072933989,0.06199770243111402,-3.5957780546107188,-3.967758356771185,-4.029756059202313,-11.84128328030873
2015-03-03,-0.4834233220798154,1.3121584258577457,-2.555247909227063,-3.660219266065937,-6.215467175293,-6.146404818953357
2015-05-08,-1.2422348291186722,1.6304350642941472,-1.3198763570144791,-1.3975178849103287,-1.1646007055264818,-8.695651208134308
2015-08-07,-0.16806306496188483,2.436974547473497,-0.8403313529497467,-1.0924299574276546,-5.630252922450893,-10.33613093836587
2015-11-06,0.9507399589714112,-1.987895836671612,-5.4451178138124305,-3.889367511966668,1.0371641203479385,-0.1728565654007923
2016-02-26,0.0,2.2727272727272947,2.000002427534625,3.8181825117631405,6.7272706465287655,11.63636120882903
2016-05-06,0.16820440295938965,1.0092504801858269,-0.25231863565382184,-0.9251522891110397,3.7846913058993294,6.1396090929996205
2016-08-05,0.3657658409349551,1.0241429593372118,0.29261127746732996,0.8046792689343505,0.14630215053207962,2.842170943040401e-14
2016-11-04,0.7751967785028455,1.9379845534327416,3.565891874029248,5.813953660298239,5.658918740292293,10.232563469245477
2017-02-24,0.06613908040691285,-1.2566109908821232,-2.579367369541046,-3.174600171093715,-3.3730174123144536,2.9761892372428065
2017-05-07,-2.615385789137619,-1.923076923076934,-1.923076923076934,2.538460951585037,0.3846168518066406,3.0769201425405583
2017-08-04,1.3302040676523603,3.990612202957138,-1.0172153142189018,-0.9389662603004183,-4.616589709824069,-0.5477284529484479
2017-11-03,0.14925715173912124,0.0,0.5970143730110777,0.6716429488806455,0.6716429488806455,-2.3880574920442825
2018-02-23,-0.16233364111005244,-0.4058379732067152,-5.438312442291888,-0.48700866419331135,-0.16233364111005244,0.0
2018-05-04,0.5686408808944492,2.924448776651275,0.6498775059225181,1.5434571397782122,0.893579633855694,5.117783422351991
2018-08-03,0.8112068825463723,0.2949849602892556,-1.9174057583781803,0.14748896364650932,-0.29498496028924137,-3.392330559824387
2018-11-02,0.3210269801811023,1.926161881086614,-1.2038492622073846,-1.44462523775843,-1.926161881086614,-3.5312967819921113
2019-02-23,0.35945500563157395,0.9345802722284304,-0.8626878998953202,-5.1042418830728025,-10.424154027110944,-6.685839794231214
2019-05-03,-1.4598526426976974,0.3649649009560534,-2.189782444609804,-2.919705285395395,-6.861310901242433,-5.985399315623823
2020-02-21,-1.0631649701522008,-1.8136333083433698,-13.946213722055518,-12.632892639172937,-49.28080192142416,-39.212004964593575
2020-05-05,1.7543909085513576,1.5697144736061261,1.5697144736061261,-1.2003704095727414,6.278857894424462,-4.432128768400503
2021-02-23,0.70377259035088,2.1753048630739187,4.28662263412653,0.4478547300811755,1.7274440314296413,11.516315915262211
2021-04-29,0.4560998832972274,0.3420721939031637,0.0,-8.665908656926518,-4.21893751334818,-1.6533688733768486
2021-07-29,0.574714848632695,-0.574714848632695,-0.287351943429357,-2.011496489327456,-2.298848432756813,-3.5057397492888924
2021-10-28,0.11280574326031001,0.5076150869236784,0.7332265734443268,-2.1432553332072644,-6.937391844293231,-6.204176028596692
2022-02-22,0.0,-5.759732657303957,-1.8102025890976705,-6.856829574262619,-1.3713659148525181,-4.991771093047845
2022-05-05,-0.23682066088898068,1.5393738204702885,-7.75606579799674,-14.150381740766804,-16.0449921989551,-17.99881064555791
2022-07-28,1.2210769618217228,2.1850847669960984,1.7352152751163317,-0.06426882141487056,-4.562982127248944,-26.156815801672025
2022-11-02,1.8207299281772293,5.042018770955536,-1.2604996839451132,-1.05041751635288,-1.05041751635288,-4.411765589787137
